date;x;y;z
1573728304787;-1.083581764;0.587938419;0.597642755
1573728304797;-0.667667833;0.500996487;-0.119478436
1573728304807;0.063458469;1.197587503;-0.310103299
1573728304817;0.127381155;1.295173274;-1.044872929
1573728304827;-0.11261553;1.204691018;-1.418168178
1573728304837;-1.040111688;0.764554664;-0.582910483
1573728304847;-2.640190623;0.826164758;-0.021964554
1573728304856;-1.529882449;0.660931806;-0.4159668
1573728304867;-0.932770934;0.19164141;-0.363419216
1573728304877;-0.945414516;-1.685433515;0.919773045
1573728304887;0.423530982;-2.068522746;0.827755692
1573728304896;2.131602991;-1.256422658;-0.088617037
1573728304907;3.038373986;0.236015591;-0.745100846
1573728304917;3.763790686;2.379986026;-0.642049349
1573728304927;2.949741045;2.608841879;-0.620899716
1573728304937;2.681573518;2.424176774;-0.144293279
1573728304947;2.758174521;2.169185322;0.405543637
1573728304957;1.88475884;1.857931265;1.59623495
1573728304967;1.017474564;1.409730632;1.231019142
1573728304977;0.507521798;1.081815878;0.479160025
1573728304987;0.068913833;0.528348668;-0.949763525
1573728304997;0.03980819;0.300095927;-2.062256518
1573728305007;0.031846552;0.025556478;-3.059511235
1573728305017;0.056123041;-0.36262748;-3.029878847
1573728305027;0.93362605;-2.098202875;-1.519852441
1573728305037;1.114650341;-2.628581374;-1.139267573
1573728305047;0.340096165;-2.746426653;-0.528341778
1573728305057;-0.601327881;-2.871348628;0.374116892
1573728305067;-2.135934507;-2.41966191;3.225965686
1573728305077;-2.750704126;-1.644594885;3.040459209
1573728305087;-3.21187426;-1.039863377;2.600919194
1573728305107;-2.967894565;-0.985120225;1.25329929
1573728305107;-2.006566247;-1.017939319;0.604244275
1573728305117;-1.222180717;-1.136131851;0.835821949
1573728305127;-0.043048185;-1.383915399;1.542062253
1573728305137;2.386578217;-2.241026286;1.923179793
1573728305147;2.797990262;-2.359767821;1.415960827
1573728305157;2.897276449;-2.500730059;-0.001125305
1573728305167;3.160580291;-2.828020113;-0.475909781
1573728305177;2.742984688;-3.488247313;-1.177518138
1573728305187;1.719378023;-3.051086933;-1.478315694
1573728305197;0.961784385;-2.149734712;-1.749599515
1573728305207;1.61218645;-2.148828678;-2.196469902
1573728305217;0.569573417;-1.335990662;-2.140248202
1573728305227;-0.004028118;-0.808303447;-1.819458789
